row,fold,p_raw,raw_asymmetry,y,fight_id,event_date,fighter_a_id,fighter_b_id,weight_class,odds_a,odds_b,q_mkt,a_n_fights,b_n_fights,p_cal,calibrated,p_blend,blended,side,p_side,q_side,edge,dec_odds,won,stake
7614,4,0.49175137281417847,0.04709315299987793,1,969,2024-07-27,2322,2701,Strawweight,250.0,-375.0,0.2657342657342657,3,12,0.44660194174757284,True,0.22417320001823815,True,b,0.7758267999817618,0.7342657342657344,0.04156106571602747,1.2666666666666666,0,0.0
7616,4,0.3884807229042053,0.07088470458984375,1,963,2024-07-27,2843,169,Welterweight,198.0,-286.0,0.31172271214911007,18,17,0.36,True,0.26462151931646205,True,b,0.735378480683538,0.6882772878508899,0.04710119283264802,1.3496503496503496,0,0.0
7618,4,0.322920560836792,0.013438820838928223,0,974,2024-07-27,4136,3434,Welterweight,325.0,-500.0,0.22018348623853212,1,2,0.2987551867219917,True,0.16634277740721742,True,b,0.8336572225927825,0.7798165137614679,0.05384070883131464,1.2,1,0.0004858338891737189
7620,4,0.6745818853378296,0.03225970268249512,1,975,2024-07-27,1802,707,Heavyweight,-600.0,360.0,0.7976878612716763,3,4,0.6666666666666666,True,0.8426383194312544,True,a,0.8426383194312544,0.7976878612716763,0.0449504581595781,1.1666666666666667,1,0.0
7621,4,0.30395543575286865,0.0370945930480957,0,971,2024-07-27,153,2922,Flyweight,160.0,-220.0,0.3587443946188341,6,6,0.2987551867219917,True,0.30836154517687164,True,b,0.6916384548231284,0.6412556053811659,0.050382849441962474,1.4545454545454546,1,0.003310763858502688
7625,4,0.2966482639312744,0.0010100603103637695,0,950,2024-08-03,939,3465,Bantamweight,275.0,-395.0,0.2504743833017078,13,5,0.24390243902439024,True,0.19034424862483812,True,b,0.8096557513751619,0.7495256166982922,0.06013013467686967,1.2531645569620253,1,0.014448992326762852
7628,4,0.7081031799316406,0.004486560821533203,1,953,2024-08-03,3611,3525,Welterweight,-599.0,340.0,0.7903796557308224,18,23,0.6666666666666666,True,0.8355446428440371,True,a,0.8355446428440371,0.7903796557308224,0.045164987113214705,1.1669449081803005,1,0.0
7630,4,0.33536025881767273,0.0834496021270752,0,957,2024-08-03,388,1851,Lightweight,250.0,-400.0,0.26315789473684204,1,1,0.2987551867219917,True,0.20825322687823034,True,b,0.7917467731217697,0.736842105263158,0.0549046678586117,1.25,1,0.0
7635,4,0.7131521701812744,0.04263949394226074,1,962,2024-08-03,2673,2659,Middleweight,-250.0,188.0,0.6728971962616822,4,5,0.6666666666666666,True,0.7136210880017476,True,a,0.7136210880017476,0.6728971962616822,0.04072389174006541,1.4,1,0.0
7637,4,0.33480268716812134,0.0599522590637207,0,942,2024-08-10,1676,2790,Welterweight,300.0,-455.0,0.23368421052631577,0,1,0.2987551867219917,True,0.17927506427667333,True,b,0.8207249357233266,0.7663157894736843,0.054409146249642326,1.2197802197802199,1,0.0012558483161157659
